"Peel","Year","metric","value"
3,1991,"F",0.5698348
3,1992,"F",0.8832324
3,1993,"F",1.06074
3,1994,"F",0.7357189
3,1995,"F",0.6971283
3,1996,"F",0.5379419
3,1997,"F",0.3581374
3,1998,"F",0.3317216
3,1999,"F",0.4688307
3,2000,"F",0.4368705
3,2001,"F",0.4479189
3,2002,"F",0.3361971
3,2003,"F",0.446434
3,2004,"F",0.3499264
3,2005,"F",0.3257828
3,2006,"F",0.2058152
3,2007,"F",0.1345697
3,2008,"F",0.1302891
3,2009,"F",0.1557818
3,2010,"F",0.1221797
3,2011,"F",0.1544227
3,2012,"F",0.1399737
3,2013,"F",0.105448
3,2014,"F",0.0918054
3,2015,"F",0.07828066
4,1963,"SSB",21430.41
4,1964,"SSB",20767.3
4,1965,"SSB",19915.01
4,1966,"SSB",19432.63
4,1967,"SSB",20016.56
4,1968,"SSB",21488.25
4,1969,"SSB",23447.24
4,1970,"SSB",25855.11
4,1971,"SSB",28070.72
4,1972,"SSB",30110.82
4,1973,"SSB",32960.67
4,1974,"SSB",35681.69
4,1975,"SSB",37089.28
4,1976,"SSB",37980.62
4,1977,"SSB",37648.41
4,1978,"SSB",36423
4,1979,"SSB",35583.69
4,1980,"SSB",34726.71
4,1981,"SSB",32927.54
4,1982,"SSB",29854.47
4,1983,"SSB",26473.72
4,1984,"SSB",23594.66
4,1985,"SSB",20309.62
4,1986,"SSB",16890.14
4,1987,"SSB",14989.1
4,1988,"SSB",14063.36
4,1989,"SSB",13150.97
4,1990,"SSB",13409.97
4,1991,"SSB",13497.94
4,1992,"SSB",14338.75
4,1993,"SSB",12233.1
4,1994,"SSB",9509.544
4,1995,"SSB",8471.703
4,1996,"SSB",8349.745
4,1997,"SSB",8287.135
4,1998,"SSB",9582.001
4,1999,"SSB",9809.154
4,2000,"SSB",9671.34
4,2001,"SSB",11051.44
4,2002,"SSB",13057.78
4,2003,"SSB",13591.56
4,2004,"SSB",12310.66
4,2005,"SSB",10641.33
4,2006,"SSB",10871.43
4,2007,"SSB",13967.51
4,2008,"SSB",15134.35
4,2009,"SSB",15218.46
4,2010,"SSB",19976.99
4,2011,"SSB",24439.29
4,2012,"SSB",25897.39
4,2013,"SSB",26785.47
4,2014,"SSB",26109.3
4,1963,"F",0.2319755
4,1964,"F",0.2329436
4,1965,"F",0.2186216
4,1966,"F",0.1582104
4,1967,"F",0.122927
4,1968,"F",0.1175429
4,1969,"F",0.1044831
4,1970,"F",0.1226085
4,1971,"F",0.139073
4,1972,"F",0.134049
4,1973,"F",0.1266047
4,1974,"F",0.1408625
4,1975,"F",0.1281386
4,1976,"F",0.1372111
4,1977,"F",0.1764229
4,1978,"F",0.1773532
4,1979,"F",0.1604062
4,1980,"F",0.1885436
4,1981,"F",0.2480006
4,1982,"F",0.3067119
4,1983,"F",0.319939
4,1984,"F",0.3849788
4,1985,"F",0.4693445
4,1986,"F",0.516827
4,1987,"F",0.6131564
4,1988,"F",0.629768
4,1989,"F",0.6098011
4,1990,"F",0.6397998
4,1991,"F",0.5761712
4,1992,"F",0.8926678
4,1993,"F",1.073275
4,1994,"F",0.7441134
4,1995,"F",0.704428
4,1996,"F",0.5435529
4,1997,"F",0.3612564
4,1998,"F",0.3413653
4,1999,"F",0.4799937
4,2000,"F",0.4492854
4,2001,"F",0.4594599
4,2002,"F",0.3441937
4,2003,"F",0.4544286
4,2004,"F",0.349279
4,2005,"F",0.322673
4,2006,"F",0.2025734
4,2007,"F",0.1320568
4,2008,"F",0.1271386
4,2009,"F",0.1516419
4,2010,"F",0.1180747
4,2011,"F",0.1477441
4,2012,"F",0.1329081
4,2013,"F",0.09982056
4,2014,"F",0.08662627
5,1963,"SSB",19713.14
5,1964,"SSB",19072.91
5,1965,"SSB",18384.83
5,1966,"SSB",18044.49
5,1967,"SSB",18747.98
5,1968,"SSB",20325.76
5,1969,"SSB",22383.37
5,1970,"SSB",24879.37
5,1971,"SSB",27165.81
5,1972,"SSB",29251.45
5,1973,"SSB",32124.75
5,1974,"SSB",34858.75
5,1975,"SSB",36280.35
5,1976,"SSB",37195.9
5,1977,"SSB",36898.56
5,1978,"SSB",35701.42
5,1979,"SSB",34902.63
5,1980,"SSB",34118.69
5,1981,"SSB",32389.76
5,1982,"SSB",29369.37
5,1983,"SSB",26044.76
5,1984,"SSB",23233.7
5,1985,"SSB",20010.07
5,1986,"SSB",16658.63
5,1987,"SSB",14826.69
5,1988,"SSB",13942.71
5,1989,"SSB",13058.84
5,1990,"SSB",13326.81
5,1991,"SSB",13442.17
5,1992,"SSB",14300.6
5,1993,"SSB",12200.59
5,1994,"SSB",9476.999
5,1995,"SSB",8438.991
5,1996,"SSB",8309.396
5,1997,"SSB",8236.931
5,1998,"SSB",9517.85
5,1999,"SSB",9741.084
5,2000,"SSB",9614.594
5,2001,"SSB",11016.33
5,2002,"SSB",13070.88
5,2003,"SSB",13644
5,2004,"SSB",12398.66
5,2005,"SSB",10771.04
5,2006,"SSB",11061.66
5,2007,"SSB",14306.93
5,2008,"SSB",15599.84
5,2009,"SSB",15802.78
5,2010,"SSB",20880.82
5,2011,"SSB",25683.88
5,2012,"SSB",27410.76
5,2013,"SSB",28762.06
5,1963,"F",0.2679336
5,1964,"F",0.2552294
5,1965,"F",0.2381054
5,1966,"F",0.1710646
5,1967,"F",0.1316604
5,1968,"F",0.1244351
5,1969,"F",0.1095822
5,1970,"F",0.1277881
5,1971,"F",0.1443443
5,1972,"F",0.1385905
5,1973,"F",0.1304996
5,1974,"F",0.1450649
5,1975,"F",0.1316597
5,1976,"F",0.140764
5,1977,"F",0.1811149
5,1978,"F",0.1819943
