scenario,change.year,ramp,cmult,mmult,mselxlab,imult,ssbrho
Ramp9 Mmults,2000,9,1,1.5,All Ages,1,0.079014026
Ramp9 Mmults,2000,9,1,2,All Ages,1,-0.063221138
Ramp9 Mmults,2000,9,1,2.5,All Ages,1,-0.190577001
Ramp9 Mmults,2000,9,1,3,All Ages,1,-0.311908546
Ramp9 Mmults,2000,9,1,3.5,All Ages,1,-0.403349269
Ramp9 Mmults,2000,9,1,4,All Ages,1,-0.470522209
Ramp9 Mmults,2000,9,1,4.5,All Ages,1,-0.52261469
Ramp9 Mmults,2000,9,1,5,All Ages,1,1.136461183
Ramp9 Mmults,2005,9,1,1.5,All Ages,1,0.064589135
Ramp9 Mmults,2005,9,1,2,All Ages,1,-0.107824395
Ramp9 Mmults,2005,9,1,2.5,All Ages,1,-0.263022379
Ramp9 Mmults,2005,9,1,3,All Ages,1,-0.388671144
Ramp9 Mmults,2005,9,1,3.5,All Ages,1,-0.483145693
Ramp9 Mmults,2005,9,1,4,All Ages,1,-0.548073205
Ramp9 Mmults,2005,9,1,4.5,All Ages,1,-0.596525203
Ramp9 Mmults,2005,9,1,5,All Ages,1,-0.634070135
Ramp9 Mmults,2010,9,1,1.5,All Ages,1,0.054196642
Ramp9 Mmults,2010,9,1,2,All Ages,1,-0.136711484
Ramp9 Mmults,2010,9,1,2.5,All Ages,1,-0.311598339
Ramp9 Mmults,2010,9,1,3,All Ages,1,-0.449937982
Ramp9 Mmults,2010,9,1,3.5,All Ages,1,-0.547995686
Ramp9 Mmults,2010,9,1,4,All Ages,1,-0.616207143
Ramp9 Mmults,2010,9,1,4.5,All Ages,1,-0.662871912
Ramp9 Mmults,2010,9,1,5,All Ages,1,-0.696765792
Ramp9 Mmults,2015,9,1,1.5,All Ages,1,0.084769372
Ramp9 Mmults,2015,9,1,2,All Ages,1,-0.067896784
Ramp9 Mmults,2015,9,1,2.5,All Ages,1,-0.216953379
Ramp9 Mmults,2015,9,1,3,All Ages,1,-0.356073191
Ramp9 Mmults,2015,9,1,3.5,All Ages,1,-0.47659546
Ramp9 Mmults,2015,9,1,4,All Ages,1,-0.572737495
Ramp9 Mmults,2015,9,1,4.5,All Ages,1,-0.645270483
Ramp9 Mmults,2015,9,1,5,All Ages,1,-0.698707245
Ramp9 Mmults,2000,9,1,1.6,All Ages,1,0.05004694
Ramp9 Mmults,2000,9,1,1.7,All Ages,1,0.021300116
Ramp9 Mmults,2000,9,1,1.8,All Ages,1,-0.007365206
Ramp9 Mmults,2000,9,1,1.9,All Ages,1,-0.035626382
Ramp9 Mmults,2005,9,1,1.6,All Ages,1,0.029321914
Ramp9 Mmults,2005,9,1,1.7,All Ages,1,-0.005623246
Ramp9 Mmults,2005,9,1,1.8,All Ages,1,-0.040051558
Ramp9 Mmults,2005,9,1,1.9,All Ages,1,-0.074158009
Ramp9 Mmults,2010,9,1,1.6,All Ages,1,0.015962329
Ramp9 Mmults,2010,9,1,1.7,All Ages,1,-0.022393438
Ramp9 Mmults,2010,9,1,1.8,All Ages,1,-0.060743496
Ramp9 Mmults,2010,9,1,1.9,All Ages,1,-0.098917826
Ramp9 Mmults,2015,9,1,1.6,All Ages,1,0.053976081
Ramp9 Mmults,2015,9,1,1.7,All Ages,1,0.023336965
Ramp9 Mmults,2015,9,1,1.8,All Ages,1,-0.007179721
Ramp9 Mmults,2015,9,1,1.9,All Ages,1,-0.037590441
Old Sudden Mmults,2000,0,1,1.5,Old,1,0.119122972
Old Sudden Mmults,2000,0,1,2,Old,1,0.041704576
Old Sudden Mmults,2000,0,1,2.5,Old,1,-0.015443275
Old Sudden Mmults,2000,0,1,3,Old,1,-0.060277164
Old Sudden Mmults,2000,0,1,3.5,Old,1,-0.096215653
Old Sudden Mmults,2000,0,1,4,Old,1,-0.125212395
Old Sudden Mmults,2000,0,1,4.5,Old,1,-0.148509314
Old Sudden Mmults,2000,0,1,5,Old,1,-0.166816668
Old Sudden Mmults,2005,0,1,1.5,Old,1,0.121387111
Old Sudden Mmults,2005,0,1,2,Old,1,0.039591545
Old Sudden Mmults,2005,0,1,2.5,Old,1,-0.023510411
Old Sudden Mmults,2005,0,1,3,Old,1,-0.074489445
Old Sudden Mmults,2005,0,1,3.5,Old,1,-0.116175361
Old Sudden Mmults,2005,0,1,4,Old,1,-0.150394346
Old Sudden Mmults,2005,0,1,4.5,Old,1,-0.1785832
Old Sudden Mmults,2005,0,1,5,Old,1,-0.201923865
Old Sudden Mmults,2010,0,1,1.5,Old,1,0.127565519
Old Sudden Mmults,2010,0,1,2,Old,1,0.044804114
Old Sudden Mmults,2010,0,1,2.5,Old,1,-0.02092012
Old Sudden Mmults,2010,0,1,3,Old,1,-0.075765546
Old Sudden Mmults,2010,0,1,3.5,Old,1,-0.122227359
Old Sudden Mmults,2010,0,1,4,Old,1,-0.16157197
Old Sudden Mmults,2010,0,1,4.5,Old,1,-0.194755572
Old Sudden Mmults,2010,0,1,5,Old,1,-0.222683831
Old Sudden Mmults,2015,0,1,1.5,Old,1,0.186059234
Old Sudden Mmults,2015,0,1,2,Old,1,0.137432727
Old Sudden Mmults,2015,0,1,2.5,Old,1,0.095624004
Old Sudden Mmults,2015,0,1,3,Old,1,0.059243888
Old Sudden Mmults,2015,0,1,3.5,Old,1,0.027308406
Old Sudden Mmults,2015,0,1,4,Old,1,-0.000900112
Old Sudden Mmults,2015,0,1,4.5,Old,1,-0.025922344
Old Sudden Mmults,2015,0,1,5,Old,1,-0.048181489
Old Sudden Mmults,2000,0,1,2.1,Old,1,0.029026096
Old Sudden Mmults,2000,0,1,2.2,Old,1,0.017032187
Old Sudden Mmults,2000,0,1,2.3,Old,1,0.005657156
Old Sudden Mmults,2000,0,1,2.4,Old,1,-0.00515267
Old Sudden Mmults,2005,0,1,2.1,Old,1,0.025785957
Old Sudden Mmults,2005,0,1,2.2,Old,1,0.012622872
Old Sudden Mmults,2005,0,1,2.3,Old,1,4.76E-05
Old Sudden Mmults,2005,0,1,2.4,Old,1,-0.011984654
Old Sudden Mmults,2010,0,1,2.1,Old,1,0.03057853
Old Sudden Mmults,2010,0,1,2.2,Old,1,0.016942409
Old Sudden Mmults,2010,0,1,2.3,Old,1,0.003841934
Old Sudden Mmults,2010,0,1,2.4,Old,1,-0.008766581
Old Ramp4 Mmults,2000,4,1,1.5,Old,1,0.118812228
Old Ramp4 Mmults,2000,4,1,2,Old,1,0.043078554
Old Ramp4 Mmults,2000,4,1,2.5,Old,1,-0.011918758
Old Ramp4 Mmults,2000,4,1,3,Old,1,-0.054594153
Old Ramp4 Mmults,2000,4,1,3.5,Old,1,-0.088515011
Old Ramp4 Mmults,2000,4,1,4,Old,1,-0.115630802
Old Ramp4 Mmults,2000,4,1,4.5,Old,1,-0.137053531
Old Ramp4 Mmults,2000,4,1,5,Old,1,-0.153090664
Old Ramp4 Mmults,2005,4,1,1.5,Old,1,0.120463299
Old Ramp4 Mmults,2005,4,1,2,Old,1,0.040625588
Old Ramp4 Mmults,2005,4,1,2.5,Old,1,-0.019706242
Old Ramp4 Mmults,2005,4,1,3,Old,1,-0.067681011
Old Ramp4 Mmults,2005,4,1,3.5,Old,1,-0.106429587
Old Ramp4 Mmults,2005,4,1,4,Old,1,-0.137906001
Old Ramp4 Mmults,2005,4,1,4.5,Old,1,-0.163543602
Old Ramp4 Mmults,2005,4,1,5,Old,1,-0.184436965
Old Ramp4 Mmults,2010,4,1,1.5,Old,1,0.123987324
Old Ramp4 Mmults,2010,4,1,2,Old,1,0.040638971
Old Ramp4 Mmults,2010,4,1,2.5,Old,1,-0.025011009
Old Ramp4 Mmults,2010,4,1,3,Old,1,-0.079157006
Old Ramp4 Mmults,2010,4,1,3.5,Old,1,-0.124263403
Old Ramp4 Mmults,2010,4,1,4,Old,1,-0.161783639
Old Ramp4 Mmults,2010,4,1,4.5,Old,1,-0.192936009
Old Ramp4 Mmults,2010,4,1,5,Old,1,-0.218834057
Old Ramp4 Mmults,2015,4,1,1.5,Old,1,0.153574439
Old Ramp4 Mmults,2015,4,1,2,Old,1,0.083759834
Old Ramp4 Mmults,2015,4,1,2.5,Old,1,0.026777382
Old Ramp4 Mmults,2015,4,1,3,Old,1,-0.021369993
Old Ramp4 Mmults,2015,4,1,3.5,Old,1,-0.062966813
Old Ramp4 Mmults,2015,4,1,4,Old,1,-0.09936811
Old Ramp4 Mmults,2015,4,1,4.5,Old,1,-0.131429
Old Ramp4 Mmults,2015,4,1,5,Old,1,-0.159750344
Old Ramp4 Mmults,2000,4,1,2.1,Old,1,0.030814395
Old Ramp4 Mmults,2000,4,1,2.2,Old,1,0.019246308
Old Ramp4 Mmults,2000,4,1,2.3,Old,1,0.008304903
Old Ramp4 Mmults,2000,4,1,2.4,Old,1,-0.002067572
Old Ramp4 Mmults,2005,4,1,2.1,Old,1,0.027333888
