"scenario","change.year","ramp","cmult","mmult","mselxlab","imult","ssbrho"
"Ramp9 Mmults",2010,9,1,3,"All Ages",1,-0.12469158194428
"Ramp9 Mmults",2010,9,1,4,"All Ages",1,-0.302384505240623
"Ramp9 Mmults",2010,9,1,5,"All Ages",1,-0.428653204684096
"Ramp9 Mmults",2010,9,1,6,"All Ages",1,-0.521897182496029
"Ramp9 Mmults",2010,9,1,7,"All Ages",1,-0.590288038012214
"Ramp9 Mmults",2010,9,1,8,"All Ages",1,-0.643833743927443
"Ramp9 Mmults",2010,9,1,9,"All Ages",1,-0.686273427675386
"Ramp9 Mmults",2010,9,1,10,"All Ages",1,-0.720694561542761
"Ramp9 Mmults",1995,9,1,4.1,"All Ages",1,0.0138158825136635
"Ramp9 Mmults",1995,9,1,4.2,"All Ages",1,0.00196413789925217
"Ramp9 Mmults",1995,9,1,4.3,"All Ages",1,-0.00901500353695153
"Ramp9 Mmults",1995,9,1,4.4,"All Ages",1,-0.0195722530385977
"Ramp9 Mmults",2000,9,1,3.2,"All Ages",1,0.0145327696243449
"Ramp9 Mmults",2000,9,1,3.3,"All Ages",1,-0.000210292906060702
"Ramp9 Mmults",2000,9,1,3.4,"All Ages",1,-0.0143557256273904
"Ramp9 Mmults",2000,9,1,3.5,"All Ages",1,-0.0280155657959676
"Ramp9 Mmults",2000,9,1,3.6,"All Ages",1,-0.0411690814173143
"Ramp9 Mmults",2005,9,1,2.7,"All Ages",1,-0.0028693656121322
"Ramp9 Mmults",2005,9,1,2.8,"All Ages",1,-0.0237844214640502
"Ramp9 Mmults",2005,9,1,2.9,"All Ages",1,-0.0438185803609875
"Ramp9 Mmults",2010,9,1,2.2,"All Ages",1,0.077879063641991
"Ramp9 Mmults",2010,9,1,2.3,"All Ages",1,0.0486267791425377
"Ramp9 Mmults",2010,9,1,2.4,"All Ages",1,0.0206218479814692
"Ramp9 Mmults",2010,9,1,2.5,"All Ages",1,-0.00620688713528703
"Ramp9 Mmults",2010,9,1,2.6,"All Ages",1,-0.0319181275961143
"Ramp9 Mmults",2010,9,1,2.7,"All Ages",1,-0.0565674310543742
"Young Ramp9 Mmults",1995,9,1,2,"Young",1,0.459743610196567
"Young Ramp9 Mmults",1995,9,1,3,"Young",1,0.372359219391564
"Young Ramp9 Mmults",1995,9,1,4,"Young",1,0.281115919614514
"Young Ramp9 Mmults",1995,9,1,5,"Young",1,0.176601891259046
"Young Ramp9 Mmults",1995,9,1,6,"Young",1,0.0845416632979835
"Young Ramp9 Mmults",1995,9,1,7,"Young",1,0.00658546136062445
"Young Ramp9 Mmults",1995,9,1,8,"Young",1,-0.0599365803175585
"Young Ramp9 Mmults",1995,9,1,9,"Young",1,-0.118037135504027
"Young Ramp9 Mmults",1995,9,1,10,"Young",1,-0.16972685441387
"Young Ramp9 Mmults",2000,9,1,2,"Young",1,0.396671172309903
"Young Ramp9 Mmults",2000,9,1,3,"Young",1,0.258934408000015
"Young Ramp9 Mmults",2000,9,1,4,"Young",1,0.136771803329524
"Young Ramp9 Mmults",2000,9,1,5,"Young",1,0.0138460393486736
"Young Ramp9 Mmults",2000,9,1,6,"Young",1,-0.0892745210577366
"Young Ramp9 Mmults",2000,9,1,7,"Young",1,-0.173629849935117
"Young Ramp9 Mmults",2000,9,1,8,"Young",1,-0.243050186246182
"Young Ramp9 Mmults",2000,9,1,9,"Young",1,-0.301641142687247
"Young Ramp9 Mmults",2000,9,1,10,"Young",1,-0.35249249807461
"Young Ramp9 Mmults",2005,9,1,2,"Young",1,0.331937505643334
"Young Ramp9 Mmults",2005,9,1,3,"Young",1,0.144191627775849
"Young Ramp9 Mmults",2005,9,1,4,"Young",1,-0.00928050828415972
"Young Ramp9 Mmults",2005,9,1,5,"Young",1,-0.141254412919489
"Young Ramp9 Mmults",2005,9,1,6,"Young",1,-0.251415872988225
"Young Ramp9 Mmults",2005,9,1,7,"Young",1,-0.33950417326911
"Young Ramp9 Mmults",2005,9,1,8,"Young",1,-0.41098991488494
"Young Ramp9 Mmults",2005,9,1,9,"Young",1,-0.470275215898189
"Young Ramp9 Mmults",2005,9,1,10,"Young",1,-0.520789894202892
"Young Ramp9 Mmults",2010,9,1,2,"Young",1,0.339599030369451
"Young Ramp9 Mmults",2010,9,1,3,"Young",1,0.14436746700707
"Young Ramp9 Mmults",2010,9,1,4,"Young",1,-0.0255262099459026
"Young Ramp9 Mmults",2010,9,1,5,"Young",1,-0.168007634539973
"Young Ramp9 Mmults",2010,9,1,6,"Young",1,-0.286397465714831
"Young Ramp9 Mmults",2010,9,1,7,"Young",1,-0.384031572031821
"Young Ramp9 Mmults",2010,9,1,8,"Young",1,-0.466881333073017
"Young Ramp9 Mmults",2010,9,1,9,"Young",1,-0.535333697760686
"Young Ramp9 Mmults",2010,9,1,10,"Young",1,-0.591438419003399
"Young Ramp9 Mmults",2000,9,1,5.1,"Young",1,0.00264702316000713
"Young Ramp9 Mmults",2000,9,1,5.2,"Young",1,-0.00837083901394647
"Young Ramp9 Mmults",2005,9,1,3.8,"Young",1,0.0190419924541787
"Young Ramp9 Mmults",2005,9,1,3.9,"Young",1,0.00477482289157866
"Young Ramp9 Mmults",2010,9,1,3.7,"Young",1,0.0226158961514416
"Young Ramp9 Mmults",2010,9,1,3.8,"Young",1,0.00629721530735617
"Young Ramp9 Mmults",2010,9,1,3.9,"Young",1,-0.00975013246319974
"Old Ramp9 Mmults",1995,9,1,2,"Old",1,0.392623429959984
"Old Ramp9 Mmults",1995,9,1,3,"Old",1,0.271188289959946
"Old Ramp9 Mmults",1995,9,1,4,"Old",1,0.1456591013631
"Old Ramp9 Mmults",1995,9,1,5,"Old",1,0.0599211108321313
"Old Ramp9 Mmults",1995,9,1,6,"Old",1,-0.00809988499876189
"Old Ramp9 Mmults",1995,9,1,7,"Old",1,-0.274410969741367
"Old Ramp9 Mmults",1995,9,1,8,"Old",1,-0.0133911243705139
"Old Ramp9 Mmults",1995,9,1,9,"Old",1,-0.00654772974750025
"Old Ramp9 Mmults",1995,9,1,10,"Old",1,-0.0138486538915083
"Old Ramp9 Mmults",2000,9,1,2,"Old",1,0.366728958312243
"Old Ramp9 Mmults",2000,9,1,3,"Old",1,0.219984900853305
"Old Ramp9 Mmults",2000,9,1,4,"Old",1,0.106841025689687
"Old Ramp9 Mmults",2000,9,1,5,"Old",1,0.0317255328622792
"Old Ramp9 Mmults",2000,9,1,6,"Old",1,-0.0189340827865712
"Old Ramp9 Mmults",2000,9,1,7,"Old",1,-0.0581880539225878
"Old Ramp9 Mmults",2000,9,1,8,"Old",1,-0.0928663618772219
"Old Ramp9 Mmults",2000,9,1,9,"Old",1,-0.126215352024454
"Old Ramp9 Mmults",2000,9,1,10,"Old",1,-0.163415027120843
"Old Ramp9 Mmults",2005,9,1,2,"Old",1,0.335425304967928
"Old Ramp9 Mmults",2005,9,1,3,"Old",1,0.172403766512479
"Old Ramp9 Mmults",2005,9,1,4,"Old",1,0.0560939845733788
