scenario,change.year,ramp,cmult,mmult,mselxlab,imult,ssbrho
Ramp9 Mmults,2000,9,1,0.08,All Ages,1,-0.007176824
Ramp9 Mmults,2000,9,1,0.09,All Ages,1,-0.010304877
Ramp9 Mmults,2010,9,1,0.26,All Ages,1,0.012894759
Ramp9 Mmults,2010,9,1,0.27,All Ages,1,0.008394092
Ramp9 Mmults,2010,9,1,0.28,All Ages,1,0.003921959
Ramp9 Mmults,2010,9,1,0.29,All Ages,1,-0.000521841
Ramp9 Mmults,2015,9,1,0.15,All Ages,1,0.015263819
Ramp9 Mmults,2015,9,1,0.16,All Ages,1,0.011375262
Ramp9 Mmults,2015,9,1,0.17,All Ages,1,0.007507928
Ramp9 Mmults,2015,9,1,0.18,All Ages,1,0.003661235
Ramp9 Mmults,2015,9,1,0.19,All Ages,1,-0.000164822
Old Sudden Mmults,2000,0,1,0.1,Old,1,-0.163410012
Old Sudden Mmults,2000,0,1,0.2,Old,1,-0.172351239
Old Sudden Mmults,2000,0,1,0.3,Old,1,-0.181610911
Old Sudden Mmults,2000,0,1,0.4,Old,1,-0.191188554
Old Sudden Mmults,2000,0,1,0.5,Old,1,-0.20105622
Old Sudden Mmults,2000,0,1,0.6,Old,1,-0.211153815
Old Sudden Mmults,2000,0,1,0.7,Old,1,-0.221390012
Old Sudden Mmults,2000,0,1,0.8,Old,1,-0.231653381
Old Sudden Mmults,2000,0,1,0.9,Old,1,-0.241825744
Old Sudden Mmults,2005,0,1,0.1,Old,1,-0.149002705
Old Sudden Mmults,2005,0,1,0.2,Old,1,-0.159584034
Old Sudden Mmults,2005,0,1,0.3,Old,1,-0.170554454
Old Sudden Mmults,2005,0,1,0.4,Old,1,-0.181863357
Old Sudden Mmults,2005,0,1,0.5,Old,1,-0.193436107
Old Sudden Mmults,2005,0,1,0.6,Old,1,-0.205178559
Old Sudden Mmults,2005,0,1,0.7,Old,1,-0.216985458
Old Sudden Mmults,2005,0,1,0.8,Old,1,-0.228751326
Old Sudden Mmults,2005,0,1,0.9,Old,1,-0.240381186
Old Sudden Mmults,2010,0,1,0.1,Old,1,-0.149700877
Old Sudden Mmults,2010,0,1,0.2,Old,1,-0.162390006
Old Sudden Mmults,2010,0,1,0.3,Old,1,-0.174843623
Old Sudden Mmults,2010,0,1,0.4,Old,1,-0.186994426
Old Sudden Mmults,2010,0,1,0.5,Old,1,-0.198791959
Old Sudden Mmults,2010,0,1,0.6,Old,1,-0.21020356
Old Sudden Mmults,2010,0,1,0.7,Old,1,-0.22121089
Old Sudden Mmults,2010,0,1,0.8,Old,1,-0.23180844
Old Sudden Mmults,2010,0,1,0.9,Old,1,-0.242000008
Old Sudden Mmults,2015,0,1,0.1,Old,1,-0.17452576
Old Sudden Mmults,2015,0,1,0.2,Old,1,-0.183995236
Old Sudden Mmults,2015,0,1,0.3,Old,1,-0.193225993
Old Sudden Mmults,2015,0,1,0.4,Old,1,-0.202226185
Old Sudden Mmults,2015,0,1,0.5,Old,1,-0.211003497
Old Sudden Mmults,2015,0,1,0.6,Old,1,-0.219565385
Old Sudden Mmults,2015,0,1,0.7,Old,1,-0.227918944
Old Sudden Mmults,2015,0,1,0.8,Old,1,-0.236070964
Old Sudden Mmults,2015,0,1,0.9,Old,1,-0.244028084
Old Sudden Mmults,2000,0,1,0.01,Old,1,-0.155619022
Old Sudden Mmults,2000,0,1,0.03,Old,1,-0.157330443
Old Sudden Mmults,2000,0,1,0.05,Old,1,-0.159053018
Old Sudden Mmults,2000,0,1,0.07,Old,1,-0.16078708
Old Sudden Mmults,2000,0,1,0.09,Old,1,-0.162532599
Old Sudden Mmults,2005,0,1,0.01,Old,1,-0.139834463
Old Sudden Mmults,2005,0,1,0.03,Old,1,-0.141842292
Old Sudden Mmults,2005,0,1,0.05,Old,1,-0.143866973
Old Sudden Mmults,2005,0,1,0.07,Old,1,-0.145908663
Old Sudden Mmults,2005,0,1,0.09,Old,1,-0.147967116
Old Sudden Mmults,2010,0,1,0.01,Old,1,-0.138148902
Old Sudden Mmults,2010,0,1,0.03,Old,1,-0.14072297
Old Sudden Mmults,2010,0,1,0.05,Old,1,-0.143293914
Old Sudden Mmults,2010,0,1,0.07,Old,1,-0.145860423
Old Sudden Mmults,2010,0,1,0.09,Old,1,-0.148422163
Old Sudden Mmults,2015,0,1,0.01,Old,1,-0.165792506
Old Sudden Mmults,2015,0,1,0.03,Old,1,-0.167750822
Old Sudden Mmults,2015,0,1,0.05,Old,1,-0.169699082
Old Sudden Mmults,2015,0,1,0.07,Old,1,-0.171637165
