"Peel","Year","metric","value"
4,1993,"SSB",4569.285
4,1994,"SSB",4246.33
4,1995,"SSB",5113.607
4,1996,"SSB",7736.249
4,1997,"SSB",9027.927
4,1998,"SSB",10426.56
4,1999,"SSB",14476.59
4,2000,"SSB",14975.07
4,2001,"SSB",12751.73
4,2002,"SSB",12451.39
4,2003,"SSB",11373.49
4,2004,"SSB",7281.349
4,2005,"SSB",5189.202
4,2006,"SSB",4438.686
4,2007,"SSB",5758.37
4,2008,"SSB",7766.356
4,2009,"SSB",8986.805
4,2010,"SSB",9286.761
4,2011,"SSB",10322.82
4,2012,"SSB",10810.16
4,2013,"SSB",10735.89
4,2014,"SSB",12263.41
4,1973,"F",0.8587989
4,1974,"F",1.192981
4,1975,"F",1.741381
4,1976,"F",1.558559
4,1977,"F",1.44668
4,1978,"F",1.32661
4,1979,"F",0.7902581
4,1980,"F",0.6020506
4,1981,"F",0.5434604
4,1982,"F",0.91082
4,1983,"F",1.200851
4,1984,"F",1.798994
4,1985,"F",1.192241
4,1986,"F",0.966873
4,1987,"F",1.161683
4,1988,"F",0.8751459
4,1989,"F",0.3378696
4,1990,"F",0.8424086
4,1991,"F",0.6494379
4,1992,"F",1.075435
4,1993,"F",0.8091803
4,1994,"F",0.883992
4,1995,"F",0.3523118
4,1996,"F",0.3159934
4,1997,"F",0.3751809
4,1998,"F",0.5576129
4,1999,"F",0.5248473
4,2000,"F",0.7334866
4,2001,"F",0.8461848
4,2002,"F",0.6768232
4,2003,"F",0.8580259
4,2004,"F",1.371042
4,2005,"F",1.118076
4,2006,"F",0.7127927
4,2007,"F",0.4645652
4,2008,"F",0.3473041
4,2009,"F",0.312692
4,2010,"F",0.1858491
4,2011,"F",0.1661327
4,2012,"F",0.09183953
4,2013,"F",0.0259601
4,2014,"F",0.01710622
5,1973,"SSB",20447.81
5,1974,"SSB",13803.49
5,1975,"SSB",9281.397
5,1976,"SSB",9814.944
5,1977,"SSB",7727.858
5,1978,"SSB",4753.73
5,1979,"SSB",8732.939
5,1980,"SSB",13407.38
5,1981,"SSB",13482.79
5,1982,"SSB",13959.71
5,1983,"SSB",10368.35
5,1984,"SSB",3519.767
5,1985,"SSB",2642.976
5,1986,"SSB",3565.152
5,1987,"SSB",3327.551
5,1988,"SSB",3168.472
5,1989,"SSB",5308.269
5,1990,"SSB",5040.734
5,1991,"SSB",3797.801
5,1992,"SSB",4806.129
5,1993,"SSB",4677.787
5,1994,"SSB",4363.506
5,1995,"SSB",5269.005
5,1996,"SSB",7968.142
5,1997,"SSB",9290.554
5,1998,"SSB",10705.28
5,1999,"SSB",14787.68
5,2000,"SSB",15273.41
5,2001,"SSB",13037.74
5,2002,"SSB",12752.58
5,2003,"SSB",11715.94
5,2004,"SSB",7716.056
5,2005,"SSB",5847.127
5,2006,"SSB",5404.084
